,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,itslive_v,hugonnet_dhdt,millan_v,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp
0,0029_0059,49.750619699999994,-117.150996,15.333333333333334,2.0,489122.6877548461,5510914.9996714555,29,59,258,2017-04-16,RGI60-02.00146,2710.0295,2708.9092,0.16851816,2.9107974,0.84797686,19.0,,,,22.75454,,0.980844,-0.00992868,,-117.151,49.7546,0.375,2004,False,2643.3413,2474.2427,2772.3992,912.0,0.0125394552044249,-269.5,0.5153732922106172,-6.244370453947733,2088.722101684148,2468.04879900583,13.793561902423711
1,0029_0060,49.7505567,-117.151047,15.0,2.0,489118.99977243046,5510908.002741067,29,60,258,2017-04-16,RGI60-02.00146,2711.7422,2710.7336,0.16726631,2.9238489,1.0835608,38.0,,,,24.0397,,0.9282241,0.013111134,,-117.151,49.7546,0.375,2004,False,2643.3413,2474.2427,2772.3992,912.0,0.0125394552044249,-269.5,0.5153732922106172,-6.244370453947733,2088.722101684148,2468.04879900583,13.793561902423711
2,0030_0057,49.750943899999996,-117.15070750000001,27.5,3.0,489143.54281019163,5510951.002368626,30,57,258,2017-04-16,RGI60-02.00146,2707.6345,2701.9565,0.16863619,2.9095747,0.61749023,26.870058,56316.0,15520063.0,21337916.0,34.875042,,1.137347,-0.066509694,,-117.151,49.7546,0.375,2004,False,2643.3413,2474.2427,2772.3992,912.0,0.0125394552044249,-269.5,0.5153732922106172,-6.244370453947733,2088.722101684148,2468.04879900583,13.793561902423711
3,0030_0058,49.75082502,-117.15080880000001,23.0,2.4,489136.2189503951,5510937.79998065,30,58,258,2017-04-16,RGI60-02.00146,2710.3586,2704.4265,0.16740388,2.922407,0.8033307,19.0,53789.0,15043603.0,20662262.0,34.57507,,1.0781415,-0.05435527,,-117.151,49.7546,0.375,2004,False,2643.3413,2474.2427,2772.3992,912.0,0.0125394552044249,-269.5,0.5153732922106172,-6.244370453947733,2088.722101684148,2468.04879900583,13.793561902423711
4,0030_0059,49.750709799999996,-117.15090799999999,16.5,2.0,489129.04715437046,5510925.004215183,30,59,258,2017-04-16,RGI60-02.00146,2712.1846,2706.415,0.16763906,2.9199464,1.0117543,26.870058,51623.0,14623222.0,20067568.0,29.949581,,1.0205362,-0.04220084,,-117.151,49.7546,0.375,2004,False,2643.3413,2474.2427,2772.3992,912.0,0.0125394552044249,-269.5,0.5153732922106172,-6.244370453947733,2088.722101684148,2468.04879900583,13.793561902423711
5,0031_0053,49.751641250000006,-117.15048425,42.0,4.0,489159.7803983047,5511028.501280094,31,53,258,2017-04-16,RGI60-02.00146,2696.297,2689.3765,0.15512891,3.0590343,0.48885778,102.31813,75449.0,18641854.0,25816304.0,40.608116,,1.2791213,-0.004435661,,-117.151,49.7546,0.375,2004,False,2643.3413,2474.2427,2772.3992,912.0,0.0125394552044249,-269.5,0.5153732922106172,-6.244370453947733,2088.722101684148,2468.04879900583,13.793561902423711
6,0031_0054,49.7515047,-117.1505775,38.333333333333336,4.0,489153.03262990975,5511013.3331593005,31,54,258,2017-04-16,RGI60-02.00146,2698.7822,2692.0369,0.16432893,2.955096,0.55940425,84.97058,70034.0,17833674.0,24648310.0,38.607185,,1.2583089,-0.042836457,,-117.151,49.7546,0.375,2004,False,2643.3413,2474.2427,2772.3992,912.0,0.0125394552044249,-269.5,0.5153732922106172,-6.244370453947733,2088.722101684148,2468.04879900583,13.793561902423711
7,0031_0055,49.75132173333333,-117.15062766666667,32.666666666666664,3.0,489149.3780202796,5510992.9982269285,31,55,258,2017-04-16,RGI60-02.00146,2701.6516,2694.7173,0.17215608,2.873734,0.64164627,68.50548,65341.0,17088930.0,23577416.0,36.65538,,1.2042139,-0.069358476,,-117.151,49.7546,0.375,2004,False,2643.3413,2474.2427,2772.3992,912.0,0.0125394552044249,-269.5,0.5153732922106172,-6.244370453947733,2088.722101684148,2468.04879900583,13.793561902423711
8,0031_0056,49.751150825,-117.150639,29.75,3.0,489148.5234816332,5510973.998325659,31,56,258,2017-04-16,RGI60-02.00146,2705.3887,2697.33,0.17760414,2.8205132,0.7407116,53.740116,62092.0,16544764.0,22798350.0,34.627243,,1.1517192,-0.07063711,,-117.151,49.7546,0.375,2004,False,2643.3413,2474.2427,2772.3992,912.0,0.0125394552044249,-269.5,0.5153732922106172,-6.244370453947733,2088.722101684148,2468.04879900583,13.793561902423711
9,0031_0057,49.7510159,-117.15065,30.333333333333332,3.0,489147.70097849565,5510958.998993374,31,57,258,2017-04-16,RGI60-02.00146,2708.247,2699.751,0.18031032,2.7950375,0.86263263,42.48529,59204.0,16044149.0,22083546.0,27.261944,,1.1008251,-0.07191574,,-117.151,49.7546,0.375,2004,False,2643.3413,2474.2427,2772.3992,912.0,0.0125394552044249,-269.5,0.5153732922106172,-6.244370453947733,2088.722101684148,2468.04879900583,13.793561902423711
