,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,millan_v,itslive_v,hugonnet_dhdt,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp
0,0031_0059,47.06316755,85.55933395,69.5,,390602.5008690122,5213190.744691968,31,59,167,2013-01-01,RGI60-10.00604,3378.971,3380.9263,0.14235836,3.2208478,0.9285627,48.08326,2233392.0,552480700.0,608519500.0,71.61552,74.50556,10.891747,,-1.0340279,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
1,0031_0060,47.0630085625,85.5595142625,68.0,,390615.8675109509,5213172.825108838,31,60,167,2013-01-01,RGI60-10.00604,3382.803,3384.0938,0.15222816,3.0938766,0.873598,76.02631,2217208.0,558854460.0,615324500.0,75.04242,86.23387,19.245123,,-1.1073412,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
2,0032_0060,47.0628738,85.5597989,68.25,,390637.2056573508,5213157.451739399,32,60,167,2013-01-01,RGI60-10.00604,3379.1196,3380.5066,0.1332658,3.3509564,0.8123112,96.16652,2238016.0,550637200.0,606549500.0,89.15637,96.94661,28.398575,,-1.1209269,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
3,0032_0061,47.06275878,85.56003432,72.0,,390654.846972624,5213144.341117335,32,61,167,2013-01-01,RGI60-10.00604,3382.6545,3383.82,0.14457776,3.1910903,0.7972731,122.588745,2219520.0,557954940.0,614364900.0,90.12008,99.15813,32.24348,,-1.205838,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
4,0033_0061,47.062597149999995,85.56032236666665,78.0,,390676.3892700271,5213125.977478861,33,61,167,2013-01-01,RGI60-10.00604,3378.8145,3380.5413,0.12909567,3.4154897,0.7439469,144.24979,2236860.0,551098700.0,607042700.0,103.14502,104.30983,39.536537,,-1.2274332,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
5,0033_0062,47.06248515,85.5605382,82.5,,390692.5496127703,5213113.229931175,33,62,167,2013-01-01,RGI60-10.00604,3381.782,3383.972,0.13953906,3.2597368,0.71230835,170.0,2218364.0,558404900.0,614845000.0,102.385025,99.290215,35.794937,,-1.3203524,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
6,0034_0061,47.0625509,85.5610296,99.0,,390729.9985403733,5213119.850062809,34,61,167,2013-01-01,RGI60-10.00604,3375.6528,3377.842,0.114848904,3.6637335,0.6515,170.0,2247264.0,546892160.0,602542700.0,114.8343,106.862045,43.719448,,-1.260035,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
7,0034_0062,47.062399792307694,85.56087144615384,92.0,,390717.68027285446,5213103.2790811565,34,62,167,2013-01-01,RGI60-10.00604,3378.417,3381.1814,0.12607388,3.4643753,0.5927007,192.33304,2231080.0,553400640.0,609502340.0,113.2515,102.7433,40.774723,,-1.3827217,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
8,0035_0060,47.06292377142857,85.56140235714285,109.57142857142857,,390759.06570766174,5213160.7649690285,35,60,167,2013-01-01,RGI60-10.00604,3370.9062,3372.919,0.09334994,3.8724234,0.5917146,183.0956,2273852.0,535860830.0,590715700.0,123.48632,106.38831,41.000237,,-1.1265285,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
9,0035_0061,47.06269677,85.56117549000001,103.7,,390741.3747801045,5213135.85616555,35,61,167,2013-01-01,RGI60-10.00604,3373.4587,3375.7847,0.10457243,3.8724234,0.50718486,183.0956,2257668.0,542627600.0,597975230.0,121.736984,106.61706,44.267372,,-1.3066121,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
10,0035_0063,47.06205605,85.561249675,94.875,,390745.69884200755,5213064.552503252,35,63,167,2013-01-01,RGI60-10.00604,3380.3906,3383.0813,0.13036777,3.395454,0.33166578,170.0,2221832.0,557051200.0,613400500.0,109.30575,102.86819,45.760014,,-1.4048868,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
11,0036_0059,47.06330949090909,85.56178763636363,114.45454545454545,,390789.1095779732,5213203.090278365,36,59,167,2013-01-01,RGI60-10.00604,3367.8499,3368.9019,0.079493135,3.8724234,0.56234956,192.33304,2301596.0,523968220.0,577930750.0,129.11073,101.442276,32.252163,,-0.8926798,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
12,0036_0060,47.0630888,85.56156722,110.8,,390771.9216357861,5213178.873635696,36,60,167,2013-01-01,RGI60-10.00604,3369.7488,3371.3928,0.08886616,3.8724234,0.44313896,170.0,2281944.0,532425300.0,587025340.0,127.24474,101.79018,35.46924,,-1.1157106,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
13,0036_0063,47.061938424999994,85.561667525,89.5,,390777.18833694136,5213050.898065147,36,63,167,2013-01-01,RGI60-10.00604,3379.2532,3382.0876,0.13191278,3.3715365,0.11708187,136.0,2225300.0,555688700.0,611946100.0,103.332,92.02109,31.32392,,-1.471285,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
14,0036_0064,47.0619202,85.56191225,87.0,,390795.7345475737,5213048.531235091,36,64,167,2013-01-01,RGI60-10.00604,3383.8796,3386.8857,0.14956774,3.1267793,0.03329004,136.0,2209116.0,561971900.0,618647550.0,93.96195,87.83515,29.067123,,-1.3519064,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
15,0037_0057,47.0637876,85.56233385,119.0,,390831.56200248975,5213255.457989441,37,57,167,2013-01-01,RGI60-10.00604,3363.2415,3363.3708,0.072977394,3.8724234,0.7152635,198.25237,2343212.0,505541200.0,558068500.0,133.52701,90.90568,19.118385,,-0.89874256,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
16,0037_0058,47.0636112,85.562122075,118.5,,390815.120973933,5213236.151010664,37,58,167,2013-01-01,RGI60-10.00604,3364.7063,3365.3389,0.07468339,3.8724234,0.58506143,183.0956,2329340.0,511756580.0,564774340.0,133.25334,92.01574,22.11338,,-0.90413344,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
17,0037_0064,47.061908450000004,85.56221088333332,87.0,,390818.387578931,5213046.808786222,37,64,167,2013-01-01,RGI60-10.00604,3384.1677,3387.246,0.16396679,2.9590101,6.1113014,102.0,2206804.0,562850500.0,619583170.0,83.35539,70.59727,18.822903,,-1.3488002,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
18,0038_0038,47.0696322,85.56258585,51.0,,390862.6293008828,5213904.588761887,38,38,167,2013-01-01,RGI60-10.00604,3300.4692,3310.352,0.30688953,2.0314715,1.2701601,34.0,,,,1.5013587,19.556877,2.0106308,,-0.608282,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
19,0038_0056,47.0641239,85.56273709999999,115.5,,390862.868601002,5213292.26684047,38,56,167,2013-01-01,RGI60-10.00604,3359.6797,3359.704,0.08147451,3.8724234,0.7502583,192.33304,2368644.0,493907650.0,545496450.0,136.77779,98.67907,26.211191,,-0.9299462,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
20,0038_0057,47.0639484,85.56252684545456,118.18181818181819,,390846.5450665971,5213273.057667167,38,57,167,2013-01-01,RGI60-10.00604,3361.5442,3361.7595,0.07865417,3.8724234,0.64084995,170.0,2350148.0,502396860.0,554672900.0,135.47379,91.05958,20.596125,,-0.9498553,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
21,0038_0064,47.06189386666667,85.56262203333334,89.33333333333333,,390849.5789071331,5213044.614601807,38,64,167,2013-01-01,RGI60-10.00604,3385.4202,3388.81,0.19004732,2.7082138,5.9182134,68.0,2197556.0,566341400.0,623298700.0,68.015816,49.941998,16.325937,,-1.3136866,85.559234619,47.055625916,3.055,2011,False,3524.526611328125,3108.414794921875,3822.219970703125,3128.0,0.1576473001725819,-718.5,0.3001059698024211,-12.494868417524144,852.2029151019728,1122.138169344827,8.364538615937258
