,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,millan_v,hugonnet_dhdt,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp
0,0010_0046,-16.301535,-68.102865,7.0,,595843.929265658,8197499.400632318,10,46,130,2012-08-07,RGI60-16.00531,5252.302,5244.505,0.29426315,2.0833318,3.1287796,193.61043,80703.0,41591156.0,155942320.0,20.030441,30.419373,3.873389,-0.24380018,-68.1,-16.3012,0.625,2000,False,5117.65,4853.1533,5327.3096,1344.0,0.0222058856145797,-633.5,0.3062508981082609,0.5679346315647857,961.9074187438652,3278.67000422736,21.60730498599179
1,0010_0047,-16.301575,-68.102948,7.0,,595835.0420350631,8197495.01444627,10,47,130,2012-08-07,RGI60-16.00531,5245.0933,5238.3433,0.27569872,2.1664026,3.189733,190.16309,93051.0,46695084.0,175796820.0,18.761988,29.335083,4.3405347,-0.28258923,-68.1,-16.3012,0.625,2000,False,5117.65,4853.1533,5327.3096,1344.0,0.0222058856145797,-633.5,0.3062508981082609,0.5679346315647857,961.9074187438652,3278.67000422736,21.60730498599179
2,0025_0024,-16.30100433333333,-68.11049386666667,10.666666666666666,,595029.1120207482,8197561.675044161,25,24,130,2012-08-07,RGI60-16.00532,5079.737,5080.1963,0.5380583,1.4504489,2.9394941,0.0,456876.0,67187384.0,275271000.0,17.797337,28.22921,8.510691,-0.5915897,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
3,0026_0024,-16.3010315,-68.11033575,13.0,,595045.9922396606,8197558.596000552,26,24,130,2012-08-07,RGI60-16.00532,5078.54,5078.2847,0.5149483,1.4891616,3.0319722,21.0,460845.0,66480130.0,272223550.0,19.049953,30.925114,7.669165,-0.74202114,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
4,0026_0025,-16.301058,-68.110237,14.0,,595056.5299928127,8197555.618347192,26,25,130,2012-08-07,RGI60-16.00532,5065.8184,5066.026,0.5431487,1.4422773,3.088785,29.698484,482454.0,62165180.0,253714860.0,20.45561,29.285275,7.7056623,-0.9619477,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
5,0026_0029,-16.301882,-68.11023415384615,15.923076923076923,,595056.4366914944,8197464.458838139,26,29,130,2012-08-07,RGI60-16.00532,5006.276,5014.7554,0.49044067,1.5333741,3.3340094,46.957428,563157.0,38209630.0,153684210.0,22.83117,38.269375,11.008685,-1.5004936,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
6,0027_0025,-16.30108988888889,-68.11011544444445,14.88888888888889,,595069.5017076291,8197552.033897771,27,25,130,2012-08-07,RGI60-16.00532,5066.463,5066.007,0.5176703,1.4844586,3.187563,46.957428,482895.0,62069236.0,253304820.0,22.65,29.24658,5.6639905,-1.106564,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
7,0027_0029,-16.30191057142857,-68.11011871428572,17.428571428571427,,595068.7565166998,8197461.244242193,27,29,130,2012-08-07,RGI60-16.00532,5008.2026,5017.3276,0.48457184,1.54449,3.4154878,66.40783,559188.0,39670436.0,159675970.0,25.704325,37.08173,9.405149,-1.6208236,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
8,0027_0030,-16.302033,-68.1100365,16.0,,595077.4812628581,8197447.661808414,27,30,130,2012-08-07,RGI60-16.00532,4998.9067,5007.428,0.4272985,1.6655635,3.4828668,75.716576,578592.0,32317654.0,129596696.0,26.844318,38.096252,9.439902,-1.6485908,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
9,0027_0032,-16.3025465,-68.110045,5.5,,595076.3254124904,8197390.857840117,27,32,130,2012-08-07,RGI60-16.00532,4986.43,4993.033,0.2931818,2.087939,3.6965957,105.0,607257.0,20445264.0,81485890.0,30.477606,39.265625,8.656671,-1.6830744,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
10,0028_0025,-16.301142333333335,-68.10993388888889,15.0,,595088.8739501652,8197546.14745046,28,25,130,2012-08-07,RGI60-16.00532,5069.0415,5067.125,0.4944934,1.5258214,3.2800107,66.40783,479367.0,62830636.0,256560140.0,24.774944,29.200571,3.6183953,-1.2511804,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
11,0028_0029,-16.301916,-68.109893,24.4,,595092.8692941725,8197460.538528775,28,29,130,2012-08-07,RGI60-16.00532,5012.0063,5020.736,0.48531848,1.5430639,3.491635,86.58522,552132.0,42205028.0,170095200.0,28.279701,35.8901,7.801518,-1.7411537,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
12,0028_0030,-16.3021392,-68.1099024,14.4,,595091.7573089765,8197435.850543266,28,30,130,2012-08-07,RGI60-16.00532,5002.228,5010.9854,0.43447027,1.6490126,3.5558438,93.914856,572418.0,34714256.0,139379580.0,29.399668,36.621517,8.19502,-1.762547,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
13,0028_0031,-16.302205,-68.109807,16.0,,595101.9181196389,8197428.526710261,28,31,130,2012-08-07,RGI60-16.00532,4994.9253,5002.8945,0.37172332,1.8107901,3.6422176,105.0,587412.0,28787130.0,115233820.0,31.098623,37.36697,8.209329,-1.7839403,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
14,0028_0032,-16.302555,-68.1098595,11.5,,595096.1401352857,8197389.831065142,28,32,130,2012-08-07,RGI60-16.00532,4989.6685,4996.621,0.30603895,2.0348575,3.7700076,118.79394,601083.0,23105754.0,92217660.0,32.760773,37.689415,8.14775,-1.7846837,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
15,0029_0025,-16.301218333333335,-68.10972,14.0,,595111.6893349091,8197537.639993471,29,25,130,2012-08-07,RGI60-16.00532,5072.466,5069.1313,0.4721876,1.5686687,3.3592174,86.58522,476721.0,63393480.0,258968400.0,26.62788,28.419916,2.798294,-1.2714494,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
16,0029_0029,-16.301975333333335,-68.10967166666667,22.333333333333332,,595116.4879961555,8197453.871407767,29,29,130,2012-08-07,RGI60-16.00532,5017.513,5024.924,0.4888511,1.5363637,3.5586677,107.07941,545517.0,44500964.0,179562670.0,30.34914,34.952568,6.772508,-1.7329347,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
17,0029_0031,-16.3022775,-68.10969066666667,15.5,,595114.312209451,8197420.451901068,29,31,130,2012-08-07,RGI60-16.00532,4998.4746,5007.1646,0.3875459,1.7660626,3.7110548,122.44999,579474.0,31970150.0,128180460.0,32.756435,36.666195,7.37901,-1.7857902,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
18,0029_0032,-16.3025685,-68.1097185,13.5,,595111.1980638101,8197388.271867476,29,32,130,2012-08-07,RGI60-16.00532,4992.666,5000.8345,0.32498696,1.9628198,3.8422024,126.0,593586.0,26256516.0,104965784.0,34.18906,37.03872,7.4841404,-1.7917999,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
19,0030_0026,-16.3012756,-68.1095236,14.4,,595132.6452190422,8197531.213110825,30,26,130,2012-08-07,RGI60-16.00532,5066.189,5061.6987,0.4801934,1.5529243,3.473557,113.08846,487746.0,60986550.0,248684000.0,29.74657,28.721628,3.9517467,-1.3799952,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
20,0030_0029,-16.301995,-68.109605,22.0,,595123.6011940863,8197451.664634909,30,29,130,2012-08-07,RGI60-16.00532,5024.051,5029.7856,0.49131727,1.531732,3.6153653,127.738014,538020.0,47013450.0,189956700.0,32.06121,34.17415,6.1033087,-1.644222,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
21,0030_0030,-16.302021333333332,-68.1095115,22.5,,595133.5780543333,8197448.707824617,30,30,130,2012-08-07,RGI60-16.00532,5011.641,5020.2544,0.45543242,1.6030447,3.6812143,132.81566,553014.0,41892676.0,168809540.0,32.907333,35.647724,6.404048,-1.682828,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
22,0030_0031,-16.302366,-68.10958,17.0,,595126.0931426228,8197410.609665168,30,31,130,2012-08-07,RGI60-16.00532,5002.416,5012.138,0.4044152,1.7214861,3.7730172,140.87228,569772.0,35721656.0,143499140.0,34.061245,36.501408,6.5773306,-1.7214339,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
23,0030_0032,-16.302498181818184,-68.10949059090909,15.863636363636363,,595135.581817275,8197395.944859466,30,32,130,2012-08-07,RGI60-16.00532,4996.794,5005.744,0.34671265,1.8880705,3.906467,127.738014,582561.0,30743954.0,123187730.0,35.181377,36.967552,6.7236705,-1.7397473,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
24,0031_0026,-16.301322666666668,-68.10931266666667,16.0,,595155.1587672957,8197525.907846589,31,26,130,2012-08-07,RGI60-16.00532,5070.276,5065.454,0.45873594,1.5961082,3.523415,132.81566,484218.0,61779988.0,252069020.0,30.993631,27.291914,3.6941226,-1.2976838,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
25,0031_0030,-16.302059166666666,-68.10933333333334,22.333333333333332,,595152.5951734817,8197444.439305593,31,30,130,2012-08-07,RGI60-16.00532,5018.0625,5025.8423,0.46267447,1.5879421,3.7321036,152.88231,543753.0,45099776.0,182036980.0,34.465786,34.65275,5.76161,-1.6062934,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
26,0032_0026,-16.301368666666665,-68.109156,16.0,,595171.8749337337,8197520.745869074,32,26,130,2012-08-07,RGI60-16.00532,5073.9424,5069.4277,0.43600526,1.6455268,3.567167,152.88231,475839.0,63577000.0,259754580.0,31.917124,27.031523,2.9447143,-1.2153724,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
27,0032_0030,-16.302091,-68.10910242857143,17.857142857142858,,595177.2497366514,8197440.809948255,32,30,130,2012-08-07,RGI60-16.00532,5025.5215,5031.9185,0.46526864,1.582624,3.7769423,173.17044,532728.0,48720468.0,197044050.0,35.777256,31.2234,5.674847,-1.5297588,-68.1064,-16.3023,0.649,2000,False,5135.563,4957.3975,5331.9736,840.0,0.0193886674014412,-444.5,0.3998002860792078,0.3204037640679515,1222.570109566297,3278.67000422736,19.370530160147972
