Unnamed: 0,ij_grid,latitude,longitude,thickness,thickness_uncertainty,x_proj,y_proj,i_grid,j_grid,survey_id,date,rgi_id,topo,topo_smoothed,slope,slope_factor,aspect,dis_from_border,catchment_area,lin_mb_above_z,oggm_mb_above_z,consensus_ice_thickness,millan_ice_thickness,millan_v,itslive_v,hugonnet_dhdt,glacier_cenlon,glacier_cenlat,glacier_area_km2,glacier_outline_year,glacier_is_tidewater,glacier_median_elev,glacier_min_elev,glacier_max_elev,glacier_length,glacier_oggm_volume,glacier_reference_mb,glacier_aar,glacier_avg_temp,glacier_avg_prcpsol,glacier_avg_prcp,glacier_avg_meltingtemp,RGI
642,0126_0053,61.348083900000006,-148.1472047,262.5,35.0,438634.8101401524,6802098.661936844,126,53,250,2012-03-16,RGI60-01.10196,1037.7905,1037.3583,0.08557648,3.8724234,5.7968574,400.0,295800000.0,438669800000.0,750797300000.0,294.82806,322.46793,1110.5002,1154.3202,-1.0081315,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
643,0126_0054,61.3466554,-148.145352,258.2,35.0,438731.1139643104,6801937.817890191,126,54,250,2012-03-16,RGI60-01.10196,1051.8766,1051.5414,0.08737026,3.8724234,5.576081,400.0,295080000.0,439743900000.0,752163800000.0,269.09607,308.6275,1124.295,1197.1248,-0.95346856,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
644,0127_0054,61.345788,-148.14427949999998,262.5,35.0,438786.7881913822,6801840.202332756,127,54,250,2012-03-16,RGI60-01.10196,1064.3381,1063.1051,0.101923935,3.8724234,5.7705903,565.6854,294600000.0,440442800000.0,753041900000.0,289.9102,296.59735,1198.285,1215.7653,-0.97430694,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
645,0127_0055,61.34453377777778,-148.14274766666665,273.3333333333333,35.0,438866.28291613614,6801699.074048985,127,55,250,2012-03-16,RGI60-01.10196,1080.4967,1080.2428,0.11659648,3.6306863,5.5790477,447.2136,293880000.0,441459600000.0,754298850000.0,259.3197,284.9479,1209.2587,1264.9153,-0.84384596,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
646,0127_0056,61.34336866666666,-148.141342,305.6666666666667,35.0,438939.2075272346,6801567.990415332,127,56,250,2012-03-16,RGI60-01.10196,1098.9946,1098.8136,0.13699028,3.295992,5.5590158,400.0,293120000.0,442490880000.0,755545700000.0,229.71466,278.09128,1222.7787,1305.2386,-0.8679097,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
647,0128_0056,61.34249616666667,-148.14029683333334,326.8333333333333,35.0,438993.4218658163,6801469.835856064,128,56,250,2012-03-16,RGI60-01.10196,1117.3116,1116.0598,0.12936027,3.4112964,5.6674843,600.0,292640000.0,443116700000.0,756284650000.0,242.39464,279.51642,1261.4076,1297.3693,-0.93088853,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
648,0128_0057,61.34102933333333,-148.13856344444446,336.8888888888889,35.0,439083.30375910655,6801304.844049055,128,57,250,2012-03-16,RGI60-01.10196,1137.5709,1136.805,0.12185474,3.5358558,5.6882396,600.0,291960000.0,443965600000.0,757259760000.0,240.7184,282.24182,1257.9119,1338.6132,-0.77926564,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
649,0128_0058,61.3399565,-148.1373065,352.0,35.0,439148.4674033632,6801184.181435917,128,58,250,2012-03-16,RGI60-01.10196,1155.2589,1156.6278,0.10931137,3.7739904,5.86398,565.6854,291160000.0,444913840000.0,758311100000.0,243.36385,288.38434,1219.3063,1365.1937,-0.85490936,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
651,0129_0058,61.33907271428571,-148.136274,361.57142857142856,35.0,439201.99447733857,6801084.785077105,129,58,250,2012-03-16,RGI60-01.10196,1165.6106,1165.9427,0.098162815,3.8724234,5.751213,721.1102,290920000.0,445188300000.0,758607500000.0,276.6278,302.72488,1234.4873,1351.7645,-0.98771185,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
652,0129_0059,61.33751011111112,-148.13444855555557,374.77777777777777,35.0,439296.6367416132,6800909.046517487,129,59,250,2012-03-16,RGI60-01.10196,1181.0918,1182.9487,0.099271774,3.8724234,5.8761663,632.4555,290160000.0,446024160000.0,759482200000.0,286.05505,313.01117,1180.6001,1345.9657,-0.9407032,-148.139,61.338,427.281,2009,False,1723.4355,39.96003,3521.4646,48000.0,127.297364375158,-597.4000000000001,0.63110919983209,-7.016374310238668,3174.7130283481893,4030.7585596607546,16.643425838584655,RGI01
