feature,importance
glacier_cenlon,114514.234375
slope,109123.3984375
slope_factor,83270.875
dis_from_border,80562.4296875
glacier_avg_temp,51658.84765625
glacier_aar,49684.66015625
longitude,38903.171875
glacier_avg_meltingtemp,37047.02734375
glacier_cenlat,36574.96484375
topo_smoothed,30246.71875
glacier_avg_prcp,29008.111328125
catchment_area,28876.333984375
glacier_avg_prcpsol,27305.298828125
latitude,25120.23828125
glacier_reference_mb,23610.609375
millan_v,21546.90625
topo,20495.3828125
aspect,4521.15576171875
